profile,rationing,hypothesis,day,launches_mean,launches_std,n
v3_realistic,individual,H3,24,18.14,3.693,50
v3_realistic,individual,H3,25,17.66,3.57,50
v3_realistic,individual,H3,26,15.98,3.356,50
v3_realistic,individual,H3,27,14.56,3.471,50
v3_realistic,individual,H3,28,13.64,3.205,50
v3_realistic,individual,H3,29,12.16,2.633,50
v3_realistic,individual,H3,30,11.46,3.226,50
v3_realistic,individual,H3,31,11.28,2.786,50
v3_realistic,individual,H3,32,9.0,3.092,50
v3_realistic,individual,H3,33,8.5,2.751,50
v3_realistic,individual,H3,34,8.0,2.474,50
v3_realistic,individual,H3,35,5.96,2.254,50
v3_realistic,individual,H3,36,5.86,2.569,50
v3_realistic,individual,H3,37,4.9,1.758,50
v3_realistic,individual,H3,38,4.76,2.093,50
v3_realistic,individual,H3,39,3.26,1.798,50
v3_realistic,coordinated,H1,0,54.0,5.755,50
v3_realistic,coordinated,H1,1,50.68,5.112,50
v3_realistic,coordinated,H1,2,49.24,5.602,50
v3_realistic,coordinated,H1,3,41.42,5.052,50
v3_realistic,coordinated,H1,4,38.3,4.945,50
v3_realistic,coordinated,H1,5,33.5,4.657,50
v3_realistic,coordinated,H1,6,31.16,4.469,50
v3_realistic,coordinated,H1,7,29.08,5.411,50
v3_realistic,coordinated,H1,8,25.34,3.902,50
v3_realistic,coordinated,H1,9,24.6,4.377,50
v3_realistic,coordinated,H1,10,24.7,4.451,50
v3_realistic,coordinated,H1,11,22.9,3.288,50
v3_realistic,coordinated,H1,12,22.1,3.936,50
v3_realistic,coordinated,H1,13,21.36,3.83,50
v3_realistic,coordinated,H1,14,19.42,3.516,50
v3_realistic,coordinated,H1,15,18.18,3.339,50
v3_realistic,coordinated,H1,16,18.44,3.539,50
v3_realistic,coordinated,H1,17,16.94,3.088,50
v3_realistic,coordinated,H1,18,15.52,3.183,50
v3_realistic,coordinated,H1,19,14.94,3.507,50
v3_realistic,coordinated,H1,20,13.72,3.65,50
v3_realistic,coordinated,H1,21,13.72,3.578,50
v3_realistic,coordinated,H1,22,12.94,3.009,50
v3_realistic,coordinated,H1,23,13.26,3.81,50
v3_realistic,coordinated,H1,24,13.06,2.319,50
v3_realistic,coordinated,H1,25,11.92,3.364,50
v3_realistic,coordinated,H1,26,12.46,3.195,50
v3_realistic,coordinated,H1,27,10.46,3.306,50
v3_realistic,coordinated,H1,28,9.72,2.498,50
v3_realistic,coordinated,H1,29,9.7,2.975,50
v3_realistic,coordinated,H1,30,8.84,2.976,50
v3_realistic,coordinated,H1,31,7.86,2.75,50
v3_realistic,coordinated,H1,32,7.1,2.377,50
v3_realistic,coordinated,H1,33,6.36,2.364,50
v3_realistic,coordinated,H1,34,5.24,1.68,50
v3_realistic,coordinated,H1,35,5.34,2.016,50
v3_realistic,coordinated,H1,36,4.22,1.758,50
v3_realistic,coordinated,H1,37,4.02,2.131,50
v3_realistic,coordinated,H1,38,3.2,1.673,50
v3_realistic,coordinated,H1,39,3.14,1.833,50
v3_realistic,coordinated,H2,0,52.66,5.609,50
v3_realistic,coordinated,H2,1,51.9,4.863,50
v3_realistic,coordinated,H2,2,47.44,6.338,50
v3_realistic,coordinated,H2,3,42.04,5.535,50
v3_realistic,coordinated,H2,4,39.6,5.254,50
v3_realistic,coordinated,H2,5,33.46,4.73,50
v3_realistic,coordinated,H2,6,30.94,4.496,50
v3_realistic,coordinated,H2,7,28.26,4.677,50
v3_realistic,coordinated,H2,8,26.68,4.461,50
v3_realistic,coordinated,H2,9,25.42,3.97,50
v3_realistic,coordinated,H2,10,24.9,4.997,50
v3_realistic,coordinated,H2,11,22.2,3.975,50
v3_realistic,coordinated,H2,12,21.38,3.857,50
v3_realistic,coordinated,H2,13,20.92,3.509,50
v3_realistic,coordinated,H2,14,19.72,3.8,50
v3_realistic,coordinated,H2,15,18.9,4.08,50
v3_realistic,coordinated,H2,16,17.82,3.604,50
v3_realistic,coordinated,H2,17,17.14,3.447,50
v3_realistic,coordinated,H2,18,15.76,3.284,50
v3_realistic,coordinated,H2,19,14.76,3.178,50
v3_realistic,coordinated,H2,20,14.7,3.754,50
v3_realistic,coordinated,H2,21,14.34,3.508,50
v3_realistic,coordinated,H2,22,12.84,3.009,50
v3_realistic,coordinated,H2,23,13.34,2.65,50
v3_realistic,coordinated,H2,24,13.1,2.886,50
v3_realistic,coordinated,H2,25,12.88,3.135,50
v3_realistic,coordinated,H2,26,11.78,2.873,50
v3_realistic,coordinated,H2,27,10.6,3.243,50
v3_realistic,coordinated,H2,28,9.56,2.865,50
v3_realistic,coordinated,H2,29,10.18,3.217,50
v3_realistic,coordinated,H2,30,9.18,2.519,50
v3_realistic,coordinated,H2,31,8.38,3.104,50
v3_realistic,coordinated,H2,32,6.84,2.284,50
v3_realistic,coordinated,H2,33,6.5,2.291,50
v3_realistic,coordinated,H2,34,5.98,1.892,50
v3_realistic,coordinated,H2,35,5.14,2.0,50
v3_realistic,coordinated,H2,36,4.58,1.95,50
v3_realistic,coordinated,H2,37,3.78,1.879,50
v3_realistic,coordinated,H2,38,3.2,1.887,50
v3_realistic,coordinated,H2,39,3.18,1.645,50
v3_realistic,coordinated,H3,0,53.12,5.241,50
v3_realistic,coordinated,H3,1,51.14,5.993,50
v3_realistic,coordinated,H3,2,50.04,5.517,50
v3_realistic,coordinated,H3,3,42.1,6.077,50
v3_realistic,coordinated,H3,4,39.04,5.621,50
v3_realistic,coordinated,H3,5,33.7,4.295,50
v3_realistic,coordinated,H3,6,31.5,4.957,50
v3_realistic,coordinated,H3,7,28.68,4.438,50
v3_realistic,coordinated,H3,8,25.62,4.331,50
v3_realistic,coordinated,H3,9,24.26,3.933,50
v3_realistic,coordinated,H3,10,24.8,4.517,50
v3_realistic,coordinated,H3,11,23.18,5.011,50
v3_realistic,coordinated,H3,12,21.84,3.733,50
v3_realistic,coordinated,H3,13,21.3,4.378,50
v3_realistic,coordinated,H3,14,19.88,3.766,50
v3_realistic,coordinated,H3,15,20.06,3.916,50
v3_realistic,coordinated,H3,16,17.4,3.65,50
v3_realistic,coordinated,H3,17,16.48,4.006,50
v3_realistic,coordinated,H3,18,16.44,3.843,50
v3_realistic,coordinated,H3,19,14.7,3.366,50
v3_realistic,coordinated,H3,20,13.84,3.301,50
v3_realistic,coordinated,H3,21,14.46,3.711,50
v3_realistic,coordinated,H3,22,13.2,2.608,50
v3_realistic,coordinated,H3,23,13.18,3.491,50
v3_realistic,coordinated,H3,24,13.34,2.896,50
v3_realistic,coordinated,H3,25,12.7,3.028,50
v3_realistic,coordinated,H3,26,11.64,3.167,50
v3_realistic,coordinated,H3,27,11.44,2.947,50
v3_realistic,coordinated,H3,28,9.9,2.886,50
v3_realistic,coordinated,H3,29,9.5,2.625,50
v3_realistic,coordinated,H3,30,8.48,2.78,50
v3_realistic,coordinated,H3,31,8.22,2.61,50
v3_realistic,coordinated,H3,32,6.74,2.52,50
v3_realistic,coordinated,H3,33,6.36,2.614,50
v3_realistic,coordinated,H3,34,6.62,1.999,50
v3_realistic,coordinated,H3,35,5.48,2.156,50
v3_realistic,coordinated,H3,36,4.28,2.098,50
v3_realistic,coordinated,H3,37,3.96,2.02,50
v3_realistic,coordinated,H3,38,3.04,1.661,50
v3_realistic,coordinated,H3,39,2.94,1.984,50
v3_front_loaded,off,H1,0,54.18,5.102,50
v3_front_loaded,off,H1,1,49.24,4.781,50
v3_front_loaded,off,H1,2,42.98,3.977,50
v3_front_loaded,off,H1,3,34.84,5.58,50
v3_front_loaded,off,H1,4,31.4,4.587,50
v3_front_loaded,off,H1,5,29.2,4.03,50
v3_front_loaded,off,H1,6,26.24,4.848,50
v3_front_loaded,off,H1,7,24.36,3.714,50
v3_front_loaded,off,H1,8,22.06,3.901,50
v3_front_loaded,off,H1,9,20.66,4.003,50
v3_front_loaded,off,H1,10,19.46,3.312,50
v3_front_loaded,off,H1,11,18.32,3.337,50
v3_front_loaded,off,H1,12,19.18,3.642,50
v3_front_loaded,off,H1,13,19.72,3.256,50
v3_front_loaded,off,H1,14,18.8,3.633,50
v3_front_loaded,off,H1,15,18.56,3.689,50
v3_front_loaded,off,H1,16,18.86,3.644,50
v3_front_loaded,off,H1,17,19.02,3.507,50
v3_front_loaded,off,H1,18,17.6,3.572,50
v3_front_loaded,off,H1,19,18.62,3.555,50
v3_front_loaded,off,H1,20,18.56,3.606,50
v3_front_loaded,off,H1,21,18.14,3.046,50
v3_front_loaded,off,H1,22,18.06,4.096,50
v3_front_loaded,off,H1,23,18.08,3.249,50
v3_front_loaded,off,H1,24,18.24,3.978,50
v3_front_loaded,off,H1,25,17.08,2.938,50
v3_front_loaded,off,H1,26,16.54,3.054,50
v3_front_loaded,off,H1,27,15.72,3.066,50
v3_front_loaded,off,H1,28,15.84,3.24,50
v3_front_loaded,off,H1,29,13.56,3.567,50
v3_front_loaded,off,H1,30,12.76,3.462,50
v3_front_loaded,off,H1,31,12.12,3.141,50
v3_front_loaded,off,H1,32,11.08,3.509,50
v3_front_loaded,off,H1,33,9.94,2.428,50
v3_front_loaded,off,H1,34,9.1,2.548,50
v3_front_loaded,off,H1,35,7.7,2.571,50
v3_front_loaded,off,H1,36,7.46,2.459,50
v3_front_loaded,off,H1,37,6.22,2.524,50
v3_front_loaded,off,H1,38,5.14,1.833,50
v3_front_loaded,off,H1,39,4.64,1.819,50
v3_front_loaded,off,H2,0,54.68,4.909,50
v3_front_loaded,off,H2,1,47.82,5.432,50
v3_front_loaded,off,H2,2,44.44,4.401,50
v3_front_loaded,off,H2,3,35.02,3.797,50
v3_front_loaded,off,H2,4,32.34,4.348,50
v3_front_loaded,off,H2,5,29.16,3.911,50
v3_front_loaded,off,H2,6,25.44,3.991,50
v3_front_loaded,off,H2,7,24.34,3.85,50
v3_front_loaded,off,H2,8,22.34,3.932,50
v3_front_loaded,off,H2,9,20.38,3.693,50
v3_front_loaded,off,H2,10,18.84,3.466,50
v3_front_loaded,off,H2,11,20.36,4.431,50
v3_front_loaded,off,H2,12,20.48,3.971,50
v3_front_loaded,off,H2,13,18.18,3.609,50
v3_front_loaded,off,H2,14,19.96,3.773,50
v3_front_loaded,off,H2,15,18.1,3.312,50
v3_front_loaded,off,H2,16,18.68,3.036,50
v3_front_loaded,off,H2,17,18.16,3.443,50
v3_front_loaded,off,H2,18,18.74,3.872,50
v3_front_loaded,off,H2,19,17.88,3.057,50
v3_front_loaded,off,H2,20,19.42,3.269,50
v3_front_loaded,off,H2,21,18.24,2.867,50
v3_front_loaded,off,H2,22,17.78,3.679,50
v3_front_loaded,off,H2,23,17.92,3.242,50
v3_front_loaded,off,H2,24,16.8,3.672,50
v3_front_loaded,off,H2,25,18.36,3.588,50
v3_front_loaded,off,H2,26,15.74,2.791,50
v3_front_loaded,off,H2,27,15.68,3.484,50
v3_front_loaded,off,H2,28,14.52,3.028,50
v3_front_loaded,off,H2,29,13.32,3.712,50
v3_front_loaded,off,H2,30,12.14,3.561,50
v3_front_loaded,off,H2,31,10.94,2.908,50
v3_front_loaded,off,H2,32,10.92,2.726,50
v3_front_loaded,off,H2,33,9.84,2.831,50
v3_front_loaded,off,H2,34,9.24,2.337,50
v3_front_loaded,off,H2,35,7.86,2.298,50
v3_front_loaded,off,H2,36,7.04,2.271,50
v3_front_loaded,off,H2,37,5.52,2.138,50
v3_front_loaded,off,H2,38,4.66,1.945,50
v3_front_loaded,off,H2,39,3.82,1.905,50
v3_front_loaded,off,H3,0,54.0,5.657,50
v3_front_loaded,off,H3,1,48.76,5.387,50
v3_front_loaded,off,H3,2,44.28,4.964,50
v3_front_loaded,off,H3,3,32.2,4.359,50
v3_front_loaded,off,H3,4,31.44,4.177,50
v3_front_loaded,off,H3,5,29.08,3.923,50
v3_front_loaded,off,H3,6,26.68,4.654,50
v3_front_loaded,off,H3,7,24.6,4.233,50
v3_front_loaded,off,H3,8,21.16,3.437,50
v3_front_loaded,off,H3,9,21.0,3.883,50
v3_front_loaded,off,H3,10,18.84,4.31,50
v3_front_loaded,off,H3,11,19.56,3.667,50
v3_front_loaded,off,H3,12,19.02,3.42,50
v3_front_loaded,off,H3,13,19.32,3.379,50
v3_front_loaded,off,H3,14,19.4,3.682,50
v3_front_loaded,off,H3,15,19.14,3.124,50
v3_front_loaded,off,H3,16,18.9,4.119,50
v3_front_loaded,off,H3,17,18.68,3.258,50
v3_front_loaded,off,H3,18,17.96,3.464,50
v3_front_loaded,off,H3,19,18.08,3.599,50
v3_front_loaded,off,H3,20,18.04,3.975,50
v3_front_loaded,off,H3,21,18.22,3.22,50
v3_front_loaded,off,H3,22,17.84,3.754,50
v3_front_loaded,off,H3,23,17.92,3.554,50
v3_front_loaded,off,H3,24,17.92,3.346,50
v3_front_loaded,off,H3,25,18.06,3.379,50
v3_front_loaded,off,H3,26,16.7,3.517,50
v3_front_loaded,off,H3,27,15.54,2.858,50
v3_front_loaded,off,H3,28,14.48,3.048,50
v3_front_loaded,off,H3,29,14.38,3.224,50
v3_front_loaded,off,H3,30,13.22,3.706,50
v3_front_loaded,off,H3,31,11.72,2.786,50
v3_front_loaded,off,H3,32,10.4,3.181,50
v3_front_loaded,off,H3,33,10.02,2.565,50
v3_front_loaded,off,H3,34,9.18,2.681,50
v3_front_loaded,off,H3,35,7.62,2.457,50
v3_front_loaded,off,H3,36,6.64,2.552,50
v3_front_loaded,off,H3,37,6.18,2.295,50
v3_front_loaded,off,H3,38,5.28,2.126,50
v3_front_loaded,off,H3,39,3.86,1.811,50
v3_front_loaded,individual,H1,0,54.4,5.265,50
v3_front_loaded,individual,H1,1,48.72,5.258,50
v3_front_loaded,individual,H1,2,42.64,4.568,50
v3_front_loaded,individual,H1,3,33.84,4.692,50
v3_front_loaded,individual,H1,4,31.98,3.947,50
v3_front_loaded,individual,H1,5,29.78,4.755,50
v3_front_loaded,individual,H1,6,26.54,4.304,50
v3_front_loaded,individual,H1,7,24.18,3.593,50
v3_front_loaded,individual,H1,8,22.26,3.405,50
v3_front_loaded,individual,H1,9,20.54,3.545,50
v3_front_loaded,individual,H1,10,18.82,3.559,50
v3_front_loaded,individual,H1,11,19.7,3.183,50
v3_front_loaded,individual,H1,12,19.58,3.731,50
v3_front_loaded,individual,H1,13,18.1,3.551,50
v3_front_loaded,individual,H1,14,19.52,3.517,50
v3_front_loaded,individual,H1,15,19.1,3.931,50
v3_front_loaded,individual,H1,16,17.94,3.524,50
v3_front_loaded,individual,H1,17,17.84,3.029,50
v3_front_loaded,individual,H1,18,18.14,3.852,50
v3_front_loaded,individual,H1,19,17.44,3.796,50
v3_front_loaded,individual,H1,20,17.48,3.506,50
v3_front_loaded,individual,H1,21,16.56,3.176,50
v3_front_loaded,individual,H1,22,16.48,4.051,50
v3_front_loaded,individual,H1,23,15.26,2.972,50
v3_front_loaded,individual,H1,24,14.78,3.245,50
v3_front_loaded,individual,H1,25,14.16,3.42,50
v3_front_loaded,individual,H1,26,14.32,3.234,50
v3_front_loaded,individual,H1,27,12.64,3.285,50
v3_front_loaded,individual,H1,28,12.48,3.573,50
v3_front_loaded,individual,H1,29,11.34,2.944,50
v3_front_loaded,individual,H1,30,10.56,2.858,50
v3_front_loaded,individual,H1,31,9.38,3.104,50
v3_front_loaded,individual,H1,32,8.48,2.343,50
v3_front_loaded,individual,H1,33,7.74,2.56,50
v3_front_loaded,individual,H1,34,6.94,2.158,50
v3_front_loaded,individual,H1,35,5.76,1.945,50
v3_front_loaded,individual,H1,36,5.46,2.563,50
v3_front_loaded,individual,H1,37,5.0,2.049,50
v3_front_loaded,individual,H1,38,4.38,2.048,50
v3_front_loaded,individual,H1,39,3.46,1.59,50
v3_front_loaded,individual,H2,0,53.54,5.742,50
v3_front_loaded,individual,H2,1,48.76,5.75,50
v3_front_loaded,individual,H2,2,43.22,5.232,50
v3_front_loaded,individual,H2,3,34.9,4.3,50
v3_front_loaded,individual,H2,4,31.54,4.531,50
v3_front_loaded,individual,H2,5,29.48,4.1,50
v3_front_loaded,individual,H2,6,26.88,3.729,50
v3_front_loaded,individual,H2,7,22.58,3.731,50
v3_front_loaded,individual,H2,8,22.3,4.173,50
v3_front_loaded,individual,H2,9,21.12,3.824,50
v3_front_loaded,individual,H2,10,18.88,3.173,50
v3_front_loaded,individual,H2,11,18.66,2.833,50
v3_front_loaded,individual,H2,12,19.3,3.22,50
v3_front_loaded,individual,H2,13,18.52,3.941,50
v3_front_loaded,individual,H2,14,17.76,3.803,50
v3_front_loaded,individual,H2,15,19.92,3.577,50
v3_front_loaded,individual,H2,16,18.0,4.104,50
v3_front_loaded,individual,H2,17,18.08,3.304,50
v3_front_loaded,individual,H2,18,18.0,3.28,50
v3_front_loaded,individual,H2,19,17.78,3.366,50
v3_front_loaded,individual,H2,20,17.18,3.135,50
v3_front_loaded,individual,H2,21,16.22,2.921,50
v3_front_loaded,individual,H2,22,15.56,3.293,50
v3_front_loaded,individual,H2,23,16.3,3.596,50
v3_front_loaded,individual,H2,24,15.72,3.561,50
v3_front_loaded,individual,H2,25,15.56,3.299,50
v3_front_loaded,individual,H2,26,14.14,3.572,50
v3_front_loaded,individual,H2,27,13.18,3.309,50
v3_front_loaded,individual,H2,28,12.56,3.263,50
v3_front_loaded,individual,H2,29,11.14,3.059,50
v3_front_loaded,individual,H2,30,10.54,2.975,50
v3_front_loaded,individual,H2,31,9.0,2.668,50
v3_front_loaded,individual,H2,32,8.34,2.71,50
v3_front_loaded,individual,H2,33,7.44,2.865,50
v3_front_loaded,individual,H2,34,6.54,2.64,50
v3_front_loaded,individual,H2,35,6.26,2.591,50
v3_front_loaded,individual,H2,36,4.92,2.382,50
v3_front_loaded,individual,H2,37,3.66,1.669,50
v3_front_loaded,individual,H2,38,3.52,1.769,50
v3_front_loaded,individual,H2,39,3.18,1.946,50
v3_front_loaded,individual,H3,0,52.72,5.25,50
v3_front_loaded,individual,H3,1,49.38,5.946,50
v3_front_loaded,individual,H3,2,43.4,4.72,50
v3_front_loaded,individual,H3,3,33.58,4.618,50
v3_front_loaded,individual,H3,4,31.04,3.929,50
v3_front_loaded,individual,H3,5,29.0,3.831,50
v3_front_loaded,individual,H3,6,26.7,3.673,50
v3_front_loaded,individual,H3,7,23.52,3.528,50
v3_front_loaded,individual,H3,8,22.18,3.615,50
v3_front_loaded,individual,H3,9,21.18,3.582,50
v3_front_loaded,individual,H3,10,19.54,3.801,50
v3_front_loaded,individual,H3,11,18.6,3.904,50
v3_front_loaded,individual,H3,12,19.7,4.286,50
v3_front_loaded,individual,H3,13,19.28,2.815,50
v3_front_loaded,individual,H3,14,18.24,3.21,50
v3_front_loaded,individual,H3,15,18.64,3.387,50
v3_front_loaded,individual,H3,16,17.9,3.27,50
v3_front_loaded,individual,H3,17,17.98,3.45,50
v3_front_loaded,individual,H3,18,17.56,2.94,50
v3_front_loaded,individual,H3,19,16.7,2.934,50
v3_front_loaded,individual,H3,20,16.98,3.597,50
v3_front_loaded,individual,H3,21,15.82,3.327,50
v3_front_loaded,individual,H3,22,16.38,3.376,50
v3_front_loaded,individual,H3,23,15.84,3.276,50
v3_front_loaded,individual,H3,24,14.4,3.04,50
v3_front_loaded,individual,H3,25,15.56,2.968,50
v3_front_loaded,individual,H3,26,13.72,2.946,50
v3_front_loaded,individual,H3,27,12.72,2.772,50
v3_front_loaded,individual,H3,28,11.34,3.642,50
v3_front_loaded,individual,H3,29,10.68,2.81,50
v3_front_loaded,individual,H3,30,10.56,2.988,50
v3_front_loaded,individual,H3,31,9.14,2.742,50
v3_front_loaded,individual,H3,32,8.48,2.844,50
v3_front_loaded,individual,H3,33,7.48,2.737,50
v3_front_loaded,individual,H3,34,6.54,2.67,50
v3_front_loaded,individual,H3,35,6.42,2.281,50
v3_front_loaded,individual,H3,36,5.3,2.071,50
v3_front_loaded,individual,H3,37,4.34,1.935,50
v3_front_loaded,individual,H3,38,3.88,1.925,50
v3_front_loaded,individual,H3,39,3.18,1.519,50
v3_front_loaded,coordinated,H1,0,53.96,5.161,50
v3_front_loaded,coordinated,H1,1,44.16,4.925,50
v3_front_loaded,coordinated,H1,2,37.02,5.14,50
v3_front_loaded,coordinated,H1,3,26.2,4.395,50
v3_front_loaded,coordinated,H1,4,23.8,4.195,50
v3_front_loaded,coordinated,H1,5,22.28,4.055,50
v3_front_loaded,coordinated,H1,6,18.92,3.862,50
v3_front_loaded,coordinated,H1,7,16.16,3.749,50
v3_front_loaded,coordinated,H1,8,14.32,3.121,50
v3_front_loaded,coordinated,H1,9,13.78,2.907,50
v3_front_loaded,coordinated,H1,10,12.72,3.047,50
v3_front_loaded,coordinated,H1,11,13.04,3.072,50
v3_front_loaded,coordinated,H1,12,12.48,3.366,50
v3_front_loaded,coordinated,H1,13,11.84,3.591,50
v3_front_loaded,coordinated,H1,14,11.72,3.238,50
v3_front_loaded,coordinated,H1,15,11.9,2.914,50
v3_front_loaded,coordinated,H1,16,11.78,3.151,50
v3_front_loaded,coordinated,H1,17,11.52,3.041,50
v3_front_loaded,coordinated,H1,18,11.42,2.967,50
v3_front_loaded,coordinated,H1,19,11.12,2.916,50
v3_front_loaded,coordinated,H1,20,11.52,3.1,50
v3_front_loaded,coordinated,H1,21,11.06,2.753,50
v3_front_loaded,coordinated,H1,22,9.84,3.055,50
v3_front_loaded,coordinated,H1,23,10.3,2.632,50
v3_front_loaded,coordinated,H1,24,10.6,2.375,50
v3_front_loaded,coordinated,H1,25,9.86,3.237,50
v3_front_loaded,coordinated,H1,26,9.6,2.289,50
v3_front_loaded,coordinated,H1,27,9.02,2.453,50
v3_front_loaded,coordinated,H1,28,8.22,2.435,50
v3_front_loaded,coordinated,H1,29,7.96,2.863,50
v3_front_loaded,coordinated,H1,30,7.68,2.42,50
v3_front_loaded,coordinated,H1,31,6.88,2.065,50
v3_front_loaded,coordinated,H1,32,7.26,2.339,50
v3_front_loaded,coordinated,H1,33,5.6,2.474,50
v3_front_loaded,coordinated,H1,34,5.06,2.222,50
v3_front_loaded,coordinated,H1,35,4.78,2.033,50
v3_front_loaded,coordinated,H1,36,4.54,2.282,50
v3_front_loaded,coordinated,H1,37,3.68,1.489,50
v3_front_loaded,coordinated,H1,38,3.28,1.855,50
v3_front_loaded,coordinated,H1,39,2.44,1.499,50
v3_front_loaded,coordinated,H2,0,53.38,4.185,50
v3_front_loaded,coordinated,H2,1,44.72,5.65,50
v3_front_loaded,coordinated,H2,2,36.92,4.166,50
v3_front_loaded,coordinated,H2,3,26.6,4.771,50
v3_front_loaded,coordinated,H2,4,24.48,4.148,50
v3_front_loaded,coordinated,H2,5,21.64,4.194,50
v3_front_loaded,coordinated,H2,6,19.48,4.415,50
v3_front_loaded,coordinated,H2,7,17.58,2.954,50
v3_front_loaded,coordinated,H2,8,14.74,3.136,50
v3_front_loaded,coordinated,H2,9,13.42,3.04,50
v3_front_loaded,coordinated,H2,10,12.2,3.098,50
v3_front_loaded,coordinated,H2,11,11.96,2.959,50
v3_front_loaded,coordinated,H2,12,12.32,2.887,50
v3_front_loaded,coordinated,H2,13,11.66,3.011,50
v3_front_loaded,coordinated,H2,14,11.54,2.948,50
v3_front_loaded,coordinated,H2,15,11.38,2.792,50
v3_front_loaded,coordinated,H2,16,11.8,2.987,50
v3_front_loaded,coordinated,H2,17,11.56,2.662,50
v3_front_loaded,coordinated,H2,18,11.32,2.81,50
v3_front_loaded,coordinated,H2,19,10.98,3.496,50
v3_front_loaded,coordinated,H2,20,11.14,3.124,50
v3_front_loaded,coordinated,H2,21,11.48,2.968,50
v3_front_loaded,coordinated,H2,22,11.52,3.176,50
v3_front_loaded,coordinated,H2,23,10.4,3.053,50
v3_front_loaded,coordinated,H2,24,10.56,2.624,50
v3_front_loaded,coordinated,H2,25,10.1,2.872,50
v3_front_loaded,coordinated,H2,26,9.6,2.828,50
v3_front_loaded,coordinated,H2,27,9.84,3.158,50
v3_front_loaded,coordinated,H2,28,8.34,2.754,50
v3_front_loaded,coordinated,H2,29,7.98,2.874,50
v3_front_loaded,coordinated,H2,30,7.34,2.233,50
v3_front_loaded,coordinated,H2,31,6.22,1.847,50
v3_front_loaded,coordinated,H2,32,6.42,2.155,50
v3_front_loaded,coordinated,H2,33,5.72,2.069,50
v3_front_loaded,coordinated,H2,34,5.34,2.286,50
v3_front_loaded,coordinated,H2,35,5.02,2.223,50
v3_front_loaded,coordinated,H2,36,4.44,1.982,50
v3_front_loaded,coordinated,H2,37,3.4,1.876,50
v3_front_loaded,coordinated,H2,38,3.1,1.539,50
v3_front_loaded,coordinated,H2,39,2.36,1.338,50
v3_front_loaded,coordinated,H3,0,54.12,5.026,50
v3_front_loaded,coordinated,H3,1,45.2,5.008,50
v3_front_loaded,coordinated,H3,2,37.36,3.882,50
v3_front_loaded,coordinated,H3,3,27.04,4.372,50
v3_front_loaded,coordinated,H3,4,24.56,4.182,50
v3_front_loaded,coordinated,H3,5,21.06,3.921,50
v3_front_loaded,coordinated,H3,6,17.48,3.33,50
v3_front_loaded,coordinated,H3,7,16.38,3.187,50
v3_front_loaded,coordinated,H3,8,15.16,3.319,50
v3_front_loaded,coordinated,H3,9,13.64,3.615,50
v3_front_loaded,coordinated,H3,10,12.28,3.383,50
v3_front_loaded,coordinated,H3,11,12.46,3.5,50
v3_front_loaded,coordinated,H3,12,12.18,2.487,50
v3_front_loaded,coordinated,H3,13,12.92,3.577,50
v3_front_loaded,coordinated,H3,14,12.12,2.651,50
v3_front_loaded,coordinated,H3,15,12.92,3.052,50
v3_front_loaded,coordinated,H3,16,11.62,2.952,50
v3_front_loaded,coordinated,H3,17,11.3,3.189,50
v3_front_loaded,coordinated,H3,18,10.68,2.969,50
v3_front_loaded,coordinated,H3,19,12.1,3.138,50
v3_front_loaded,coordinated,H3,20,12.02,2.963,50
v3_front_loaded,coordinated,H3,21,11.38,3.149,50
v3_front_loaded,coordinated,H3,22,11.16,2.603,50
v3_front_loaded,coordinated,H3,23,10.56,3.138,50
v3_front_loaded,coordinated,H3,24,10.16,2.88,50
v3_front_loaded,coordinated,H3,25,9.38,2.599,50
v3_front_loaded,coordinated,H3,26,9.7,2.419,50
v3_front_loaded,coordinated,H3,27,9.46,2.625,50
v3_front_loaded,coordinated,H3,28,8.78,2.708,50
v3_front_loaded,coordinated,H3,29,7.98,2.337,50
v3_front_loaded,coordinated,H3,30,7.16,2.335,50
v3_front_loaded,coordinated,H3,31,6.94,2.403,50
v3_front_loaded,coordinated,H3,32,6.74,1.798,50
v3_front_loaded,coordinated,H3,33,5.9,2.851,50
v3_front_loaded,coordinated,H3,34,5.36,2.234,50
v3_front_loaded,coordinated,H3,35,4.36,1.819,50
v3_front_loaded,coordinated,H3,36,4.32,2.083,50
v3_front_loaded,coordinated,H3,37,3.56,1.734,50
v3_front_loaded,coordinated,H3,38,2.82,1.506,50
v3_front_loaded,coordinated,H3,39,2.48,1.59,50
v3_plateau_high,off,H1,0,54.6,4.779,50
v3_plateau_high,off,H1,1,48.22,6.407,50
v3_plateau_high,off,H1,2,46.38,5.157,50
v3_plateau_high,off,H1,3,37.7,4.851,50
v3_plateau_high,off,H1,4,32.18,4.146,50
v3_plateau_high,off,H1,5,27.58,4.138,50
v3_plateau_high,off,H1,6,23.46,4.631,50
v3_plateau_high,off,H1,7,23.64,3.582,50
v3_plateau_high,off,H1,8,21.24,3.922,50
v3_plateau_high,off,H1,9,21.84,3.849,50
v3_plateau_high,off,H1,10,21.36,3.933,50
v3_plateau_high,off,H1,11,20.8,3.758,50
v3_plateau_high,off,H1,12,19.46,3.263,50
v3_plateau_high,off,H1,13,19.46,3.727,50
v3_plateau_high,off,H1,14,19.68,3.712,50
v3_plateau_high,off,H1,15,20.46,2.751,50
v3_plateau_high,off,H1,16,20.74,3.451,50
v3_plateau_high,off,H1,17,20.66,4.048,50
