profile,rationing,phase,comparison,n_a,n_b,cohens_d,rank_biserial_r,z,p,significant_at_0.05
v3_front_loaded,off,mid,H1_vs_H3,750,750,0.259,0.1232,4.1294,3.6e-05,True
v3_front_loaded,off,mid,H2_vs_H3,750,750,0.8085,0.2893,-9.7013,0.0,True
v3_front_loaded,off,late,H1_vs_H2,750,750,0.5976,0.2227,7.466,0.0,True
v3_front_loaded,off,late,H1_vs_H3,750,750,0.1592,0.0717,2.4032,0.016253,True
v3_front_loaded,off,late,H2_vs_H3,750,750,0.5046,0.1493,-5.0071,1e-06,True
v3_plateau_high,coordinated,early,H1_vs_H2,500,500,1.2465,0.588,16.095,0.0,True
v3_plateau_high,coordinated,early,H1_vs_H3,500,500,0.3659,0.1806,4.9435,1e-06,True
v3_plateau_high,coordinated,early,H2_vs_H3,500,500,1.0527,0.458,-12.5366,0.0,True
v3_plateau_high,coordinated,mid,H1_vs_H2,750,750,0.9361,0.3693,12.3837,0.0,True
v3_plateau_high,coordinated,mid,H1_vs_H3,750,750,0.2475,0.1162,3.8968,9.7e-05,True
v3_plateau_high,coordinated,mid,H2_vs_H3,750,750,0.7559,0.2547,-8.5389,0.0,True
v3_plateau_high,coordinated,late,H1_vs_H2,750,750,0.5403,0.1587,5.3201,0.0,True
v3_plateau_high,coordinated,late,H1_vs_H3,750,750,0.1319,0.0512,1.7158,0.086192,False
v3_plateau_high,coordinated,late,H2_vs_H3,750,750,0.4015,0.1093,-3.6659,0.000246,True
v3_plateau_high,individual,early,H1_vs_H2,500,500,1.4048,0.672,18.3943,0.0,True
v3_plateau_high,individual,early,H1_vs_H3,500,500,0.4169,0.2164,5.9247,0.0,True
v3_plateau_high,individual,early,H2_vs_H3,500,500,1.1364,0.512,-14.0147,0.0,True
v3_plateau_high,individual,mid,H1_vs_H2,750,750,1.1058,0.46,15.4237,0.0,True
v3_plateau_high,individual,mid,H1_vs_H3,750,750,0.2682,0.1296,4.3445,1.4e-05,True
v3_plateau_high,individual,mid,H2_vs_H3,750,750,0.9132,0.3427,-11.4896,0.0,True
v3_plateau_high,individual,late,H1_vs_H2,750,750,0.5909,0.2133,7.153,0.0,True
v3_plateau_high,individual,late,H1_vs_H3,750,750,0.1254,0.059,1.9779,0.047943,True
v3_plateau_high,individual,late,H2_vs_H3,750,750,0.4962,0.1547,-5.1859,0.0,True
v3_plateau_high,off,early,H1_vs_H2,500,500,1.4658,0.674,18.449,0.0,True
v3_plateau_high,off,early,H1_vs_H3,500,500,0.3733,0.2102,5.7536,0.0,True
v3_plateau_high,off,early,H2_vs_H3,500,500,1.1479,0.56,-15.3286,0.0,True
v3_plateau_high,off,mid,H1_vs_H2,750,750,1.1253,0.4827,16.1837,0.0,True
v3_plateau_high,off,mid,H1_vs_H3,750,750,0.3678,0.1872,6.2764,0.0,True
v3_plateau_high,off,mid,H2_vs_H3,750,750,0.8365,0.304,-10.1931,0.0,True
v3_plateau_high,off,late,H1_vs_H2,750,750,0.6277,0.224,7.5107,0.0,True
v3_plateau_high,off,late,H1_vs_H3,750,750,0.133,0.0628,2.1053,0.035264,True
v3_plateau_high,off,late,H2_vs_H3,750,750,0.5155,0.1613,-5.4095,0.0,True
v3_realistic,coordinated,early,H1_vs_H2,500,500,1.4869,0.706,19.3249,0.0,True
v3_realistic,coordinated,early,H1_vs_H3,500,500,0.4751,0.2524,6.9097,0.0,True
v3_realistic,coordinated,early,H2_vs_H3,500,500,1.1966,0.554,-15.1643,0.0,True
v3_realistic,coordinated,mid,H1_vs_H2,750,750,0.999,0.3987,13.3672,0.0,True
v3_realistic,coordinated,mid,H1_vs_H3,750,750,0.2111,0.0931,3.123,0.00179,True
v3_realistic,coordinated,mid,H2_vs_H3,750,750,0.8769,0.3173,-10.6401,0.0,True
v3_realistic,coordinated,late,H1_vs_H2,750,750,0.4569,0.1667,5.5883,0.0,True
v3_realistic,coordinated,late,H1_vs_H3,750,750,0.1923,0.0808,2.7102,0.006724,True
v3_realistic,coordinated,late,H2_vs_H3,750,750,0.3232,0.0867,-2.9059,0.003662,True
v3_realistic,individual,early,H1_vs_H2,500,500,1.5073,0.722,19.7629,0.0,True
v3_realistic,individual,early,H1_vs_H3,500,500,0.3521,0.1816,4.9717,1e-06,True
v3_realistic,individual,early,H2_vs_H3,500,500,1.3455,0.628,-17.1899,0.0,True
v3_realistic,individual,mid,H1_vs_H2,750,750,1.2504,0.524,17.5696,0.0,True
v3_realistic,individual,mid,H1_vs_H3,750,750,0.3449,0.1837,6.161,0.0,True
v3_realistic,individual,mid,H2_vs_H3,750,750,0.9362,0.3653,-12.2496,0.0,True
v3_realistic,individual,late,H1_vs_H2,750,750,0.4844,0.184,6.1695,0.0,True
v3_realistic,individual,late,H1_vs_H3,750,750,0.1242,0.0646,2.165,0.030389,True
v3_realistic,individual,late,H2_vs_H3,750,750,0.3649,0.12,-4.0236,5.7e-05,True
v3_realistic,off,early,H1_vs_H2,500,500,1.5139,0.714,19.5439,0.0,True
v3_realistic,off,early,H1_vs_H3,500,500,0.3899,0.1964,5.3762,0.0,True
v3_realistic,off,early,H2_vs_H3,500,500,1.2915,0.608,-16.6424,0.0,True
v3_realistic,off,mid,H1_vs_H2,750,750,1.2359,0.532,17.8379,0.0,True
v3_realistic,off,mid,H1_vs_H3,750,750,0.3362,0.1642,5.5062,0.0,True
v3_realistic,off,mid,H2_vs_H3,750,750,1.0124,0.4027,-13.5014,0.0,True
v3_realistic,off,late,H1_vs_H2,750,750,0.5976,0.2253,7.5554,0.0,True
v3_realistic,off,late,H1_vs_H3,750,750,0.0689,0.0645,2.1626,0.030572,True
v3_realistic,off,late,H2_vs_H3,750,750,0.4191,0.1573,-5.2754,0.0,True
